n,t,edge,size,0.003044348733032908*e*v^2,e*v^2 squared_error,25187.506159262994*sqrt(n),sqrt(n) squared_error,50178.807159225864*log(n),log(n) squared_error,2016.0000000000005*n,n squared_error,3.631987493337511*vlog(e),vlog(e) squared_error,0.23808633993376835*n^3,n^3 squared_error,20.94153415088367*n^2,n^2 squared_error
44,3.2596917152404785,1697.0,88704.0,10001.878972716451,6194023854.193187,167075.01467008193,6142015940.418198,273947.76639058127,34315252986.568245,88704.00000000001,2.117582368135751e-22,33649.11274927858,3031040610.1896477,20281.147,4681686812.65961,40542.81,2319500222.2161
47,4.300081968307495,1952.0,94752.0,13127.134317678441,6662618697.657036,172676.84247338097,6072281074.501238,278722.642837118,33845197425.90244,94752.00000000001,2.117582368135751e-22,39380.033012333886,3066054728.0831857,24718.838,4904643779.718244,46259.849,2351488708.606801
51,6.057676076889037,2326.0,102816.0,18418.08455304285,7123008131.791729,179874.7725298589,5938054423.808536,284635.5373598935,33058344165.765705,102816.00000000003,8.470329472543003e-22,47920.66579291403,3013497717.7076635,31582.391,5074227051.164881,54468.93,2337439177.5849
55,8.085879564285277,2656.0,110880.0,24459.515460679595,7468500148.010917,186795.54507203892,5763169983.584773,290101.7341830712,32120430003.587425,110880.00000000003,8.470329472543003e-22,55770.22631816233,3037087155.263368,39611.615,5079182700.508226,63348.141,2259277619.9958806
59,10.703676462173464,3053.0,118944.0,32353.7948498661,7497863627.942276,193468.90583463732,5553961589.66156,295184.01116048824,31060541533.84902,118944.00000000003,8.470329472543003e-22,65229.43930625484,2885254030.5220323,48897.934,4906451362.076355,72897.48,2120282004.1104004
64,14.778838634490967,3605.0,129024.0,44953.09693986256,7067916741.347027,201500.04927410395,5252777718.382343,301072.8429553552,29600804362.27647,129024.00000000003,8.470329472543003e-22,78559.88948089036,2546626450.4849124,62412.905,4437037977.099025,85776.524,1870344180.3705757
69,20.322621583938602,4209.0,139104.0,61005.85343433436,6099320496.992191,209223.13970992996,4916693753.660677,306518.47074408666,28027605014.522648,139104.00000000003,8.470329472543003e-22,93381.2293648793,2090571754.551856,78213.505,3707652381.3450246,99702.644,1552466854.638736
75,28.8279972076416,5006.0,151200.0,85725.0548862904,4286968437.6432853,218130.2019189877,4479651928.916465,312554.69190017454,26035336598.200253,151200.00000000003,8.470329472543003e-22,113250.69586023274,1440149684.6925569,100442.675,2576306041.155625,117796.13,1115818530.9768996
81,39.859858751297004,5830.0,163296.0,116448.25697821054,2194711026.235623,226687.55543336694,4018489300.261634,318126.1107131651,23972363183.450954,163296.00000000003,8.470329472543003e-22,134243.07201425725,844072624.544754,126528.843,1351823833.8626494,137397.406,670737171.1768366
88,54.534064769744866,6868.0,177408.0,161916.09849055178,239999012.37844393,236279.7516801137,3465883145.8849697,324126.57354980713,21526339824.490166,177408.00000000003,8.470329472543003e-22,161127.22809012613,265063533.9813382,162249.174,229790005.69827604,162171.24,232158855.29760027
MSE,,,,,3374987250.1563315,,5266836524.859612,,30615478315.586,,3.1763735522036263e-22,,1756877419.8175652,,2569593861.62227,,1387106794.5189552
