n,t,edge,size,1.0286945480361e-06*e*v^2,e*v^2 squared_error,6.064300586221239*sqrt(n),sqrt(n) squared_error,11.297912122970255*log(n),log(n) squared_error,0.517702080203522*n,n squared_error,0.0010708392755710517*vlog(e),vlog(e) squared_error,7.50085491072076e-05*n^3,n^3 squared_error,0.006027283809860438*n^2,n^2 squared_error
29,0.5904545783996582,724.0,58464.0,0.6263556511864127,0.0012888870272398426,32.65725809680376,1028.2798878879337,54.885042378010894,2947.9022643296935,15.01336032590214,208.02021020134012,3.7663325990816907,10.086201202251225,1.829,1.5339947613671683,5.069,20.057369093337382
31,0.7700965404510498,828.0,62496.0,0.818540481428709,0.002346815417446933,33.76459668945182,1088.6370400824119,55.97207455469438,3047.258376685004,16.04876448630918,233.43769419979276,4.3926625341066075,13.122984378389678,2.235,2.1459421457984824,5.792,25.219514357029713
33,0.9962308406829834,947.0,66528.0,1.0608751995823134,0.00417889313750538,34.8367546249852,1145.1810499959238,56.99112147413973,3135.4277770527824,17.08416864671623,258.8217428507938,5.11544337121184,16.967911871665944,2.696,2.889215194965278,6.564,31.00005341144172
35,1.3006367683410645,1077.0,70560.0,1.3571824345877277,0.0031974123712790303,35.87688609678262,1195.5170176225552,57.95018877928798,3209.1717430409794,18.119572807123273,282.876609476647,5.915570813739193,21.297616243374737,3.216,3.668616309190962,7.383,36.99514248183653
38,1.8119292259216309,1252.0,76608.0,1.8597645290598888,0.0022882162263290263,37.382859451915174,1265.291077142501,59.290623874603426,3303.800338516401,19.672679047733837,319.00638419736475,7.03584799472514,27.289327303057572,4.116,5.308742131962093,8.703,47.486856413357046
41,2.484172105789185,1497.0,82656.0,2.58866559626728,0.010918889552295771,38.83047006671145,1321.053375464142,60.529151742418236,3369.219661016681,21.225785288344404,351.2480646845276,8.588404429866818,37.26165226631423,5.17,7.213671477320901,10.132,58.489271499469034
44,3.2596917152404785,1697.0,88704.0,3.379664838561419,0.014393550319381587,40.22601932085629,1366.5093766457135,61.68017866872944,3412.953295882774,22.77889152895497,380.9991613677118,9.920956937804544,44.37245436534148,6.39,9.798829957634096,11.669,70.71646582812514
47,4.300081968307495,1952.0,94752.0,4.4356979729061266,0.018391700703296023,41.57475021214238,1389.400892687953,62.75525672548421,3417.0074558920696,24.331997769565536,401.2776506686916,11.610636352753819,53.444205407947365,7.788,12.16557219580572,13.314,81.25071828207128
51,6.057676076889037,2326.0,102816.0,6.223525892221851,0.027506161245928307,43.30776860566943,1387.5693934027008,64.08656303770344,3367.351721910976,26.402806090379624,413.92431526583545,14.12871909297567,65.14173536752082,9.95,15.15018552242191,15.677,92.53139273773486
55,8.085879564285277,2656.0,110880.0,8.264943476741243,0.03206388474403789,44.974056832827294,1360.7376221953798,65.31729399468209,3275.4347977038324,28.47361441119371,415.65973218784455,16.443049118017665,69.84228294983161,12.48,19.308294403565753,18.233,102.96405313689937
59,10.703676462173464,3053.0,118944.0,10.932444108391817,0.05233463595628551,46.580776661650376,1287.1663187233064,66.46158422249185,3108.9442778081734,30.5444227320078,393.655212543945,19.231962021000502,72.73165457289781,15.405,22.102443007321813,20.981,105.62337910116338
64,14.778838634490967,3605.0,129024.0,15.189785991864897,0.16887773053261632,48.51440468976991,1138.088417070089,67.78747273782153,2809.91528950078,33.13293313302541,336.87278486113235,23.16225353060185,70.28164532033382,19.663,23.855032244331067,24.688,98.19147896769682
69,20.322621583938602,4209.0,139104.0,20.61406045412826,0.08493661505742457,50.37386396141341,903.0771684297379,69.01357251369437,2370.8087024438846,35.72144353404302,237.12371745101757,27.532112428375363,51.97675823601748,24.641,18.648392144304932,28.696,70.11346609856291
75,28.8279972076416,5006.0,151200.0,28.96675260451153,0.019253060160531407,52.51838363852457,561.2344092445638,70.37264619513711,1725.9578594942113,38.827656015264154,99.99317626886328,33.39033885313534,20.81496129020651,31.644,7.929871726570288,33.903,25.755653342445527
81,39.859858751297004,5830.0,163296.0,39.34821453994609,0.26177979900889703,54.57870527599115,216.64444301750086,71.6270682054032,1009.1555965010544,41.93386849648529,4.301516423135974,39.57963904057453,0.07852308627738874,39.863,9.867443414070092e-06,39.545,0.09913603326830765
88,54.534064769744866,6868.0,177408.0,54.71193426338203,0.031637556766739974,56.88818208383712,5.541868328508941,72.9780907916997,340.18209589854706,45.55778305790994,80.5736333702222,47.50604579980266,49.393050641867454,51.116,11.683166770171026,46.675,61.764899055044964
MSE,,,,,0.024608834171882126,,872.8956767410477,,2505.9815850896584,,192.00814605098967,,21.863207017983605,,5.569082649003709,,33.362403900042324
